10240, 601.132, 142057082377, 350137582242
12288, 1449.52, 245735193997, 590081893562
14336, 1619.4, 389755539698, 961312044079
1024, 0.840049, 137646572, 27612059
2048, 7.96546, 1113332051, 401651510
3072, 24.195, 3731185415, 903679115
4096, 63.961, 8970460978, 4272921011
1024, 0.547876, 136954256, 292506222
2048, 4.29671, 1095859837, 2340440100
3072, 14.941, 3708074073, 7877615043
4096, 34.8481, 8768280219, 18720811351
6, 6e-06, 591, 3244
10, 1e-05, 0, 0
16, 1.7e-05, 0, 0
1024, 0.538243, 0, 0
1024, 0.532109, 0, 0
