1024, 0.001265, 145062, 75371
2048, 0.006943, 617240, 244896
3072, 0.011082, 1356918, 627900
4096, 0.016628, 2385048, 1081262
1024, 0.001382, 143881, 64052
2048, 0.004363, 576700, 282322
3072, 0.010765, 1289790, 632939
4096, 0.016368, 2335014, 1038273
1024, 0.002192, 169427, 99435
2048, 0.008396, 651267, 308848
3072, 0.015532, 1483015, 684858
4096, 0.026749, 2564660, 1497322
1024, 0.001335, 140340, 64534
2048, 0.006547, 597853, 260979
3072, 0.013178, 1317085, 526184
4096, 0.018831, 2330613, 1014390
5120, 0.023095, 3568391, 1682944
6144, 0.036475, 5144229, 2336741
7168, 0.044818, 6936591, 3198258
8192, 0.063167, 8990352, 4120965
1024, 0.001354, 152349, 69055
2048, 0.00552, 575270, 280679
3072, 0.013967, 1324522, 519495
4096, 0.016275, 2285529, 1019519
5120, 0.023961, 3564360, 1693596
6144, 0.035576, 5127575, 2326726
7168, 0.046585, 6875209, 3255907
8192, 0.070898, 8994741, 3815729
